quote,author
"Where there is love and inspiration, I don’t think you can go wrong.",Ella Fitzgerald
"If you invest in beauty, it will remain with you all the days of your life.",Frank Lloyd Wright
"In the depths of Winter, I finally learned that within me there lay an invincible summer.",Albert Camus
Forgiveness is just another name for freedom.,Byron Katie
What good is warmth without cold to give it sweetness?,John Steinbeck
Blessed are the hearts that can bend; they shall never be broken.,Albert Camus
"Difficulties strengthen the mind, as labor does the body.",Seneca
"In three words, I can sum up everything I’ve learned about life: It goes on.",Robert Frost
To love oneself is the beginning of a life-long romance.,Oscar Wilde
Life can only be understood backwards; but it must be lived forwards.,Søren Kierkegaard
The willingness to show up changes us. It makes us a little braver each time.,Brené Brown
"Be happy, take care of your teeth, always let your conscience be your guide.",Patti Smith
"It's one of the greatest gifts you can give yourself, to forgive.",Maya Angelou
"When I grow up, I’m gonna look up from my phone and see my life.",Phoebe Bridgers
Trust your gut. Forgive yourself. Be grateful.,Cheryl Strayed
The great thing about getting older is that you don't lose all the other ages you've been.,Madeleine L'Engle
He who has a why to live for can bear almost any how.,Friedrich Nietzsche
Courage is the price that life exacts for granting peace.,Amelia Earhart
The first wealth is health.,Ralph Waldo Emerson
A small act is worth a million thoughts.,Ai Weiwei
Logic will get you from A to B. Imagination will take you everywhere.,Albert Einstein
"You don't always have to be doing something. You can just be, and that's plenty.",Alice Walker
"Nothing is worth more than laughter. It is strength to laugh and to abandon oneself, to be light.",Frida Kahlo
"There is so much to be grateful for, words are poor things.",Marilynne Robinson
I would rather have 30 minutes of wonderful than a lifetime of nothing special.,Robert Harling
Don't move the way fear makes you move.,Rumi
What is happiness except the simple harmony between a man and the life he leads?,Albert Camus
"Patience is bitter, but its fruit is sweet.",Jean-Jacques Rousseau
"When you run into something interesting, drop everything else and study it.",B. F. Skinner
It's the simple things in life that are the most extraordinary.,Paulo Coelho
"Fall in love with the masterpiece, and also the paint on the floor.",Morgan Harper Nichols
Time you enjoy wasting is not wasted time.,Marthe Troly-Curtin
"The beauty is that through disappointment you can gain clarity, and with clarity comes conviction and true originality.",Conan O'Brien
It is only after the deepest darkness that the greatest joy can come.,Malcolm X
"Genius, like humanity, rusts for want of use.",William Hazlitt
"Seek first the virtues of the mind; and other things either will come, or will not be wanted.",Francis Bacon
"Nothing succeeds like success. Get a little success, and then just get a little more.",Maya Angelou
Every gift from a friend is a wish for your happiness.,Richard Bach
"Whatever you are, try to be a good one.",William Makepeace Thackeray
"I learned that courage was not the absence of fear, but the triumph over it.",Nelson Mandela
"I'm not afraid of storms, for I'm learning how to sail my ship.",Louisa May Alcott
"Letting go gives us freedom, and freedom is the only condition for happiness.",Thich Nhat Hanh
Chance favors only the prepared mind.,Louis Pasteur
"He has achieved success who has lived well, laughed often, and loved much.",Bessie Anderson Stanley
"Inspiration usually comes during work, rather than before it.",Madeleine L'Engle
"Who looks outside, dreams; who looks inside, awakes.",Carl Jung
Stay close to any sounds that make you glad you are alive.,Hafez
"To affect the quality of the day, that is the highest of arts.",Henry David Thoreau
You miss 100 percent of the shots you don't take.,Wayne Gretzky
One sees great things from the valley; only small things from the peak.,G.K. Chesterton
Success is a collection of problems solved.,I. M. Pei
"Wisely, and slow. They stumble that run fast.",William Shakespeare
